timestamp,pitch,setpoint,error,P,I,D,output
16.1413,4.81,0.0,-4.8125,-1.2031,-0.0,0.0,-1.2031
16.1544,4.81,0.0,-4.8125,-1.2031,-0.0,0.0,-1.2031
16.1702,4.81,0.0,-4.8125,-1.2031,-0.0,0.0,-1.2031
16.1832,4.81,0.0,-4.8125,-1.2031,-0.0,0.0,-1.2031
16.2002,4.81,0.0,-4.8125,-1.2031,-0.0,0.0,-1.2031
16.2133,4.94,0.0,-4.9375,-1.2344,-0.0,-0.7632,-1.9976
16.2303,4.94,0.0,-4.9375,-1.2344,-0.0,-0.6106,-1.8449
16.2432,5.25,0.0,-5.25,-1.3125,-0.0,-2.4247,-3.7372
16.2562,5.38,0.0,-5.375,-1.3438,-0.0,-2.706,-4.0498
16.269,5.44,0.0,-5.4375,-1.3594,-0.0,-2.5559,-3.9153
16.2819,5.75,0.0,-5.75,-1.4375,-0.0,-3.9794,-5.4169
16.2964,5.94,0.0,-5.9375,-1.4844,-0.0,-4.2238,-5.7082
16.3093,6.06,0.0,-6.0625,-1.5156,-0.0,-4.1504,-5.666
16.3224,6.19,0.0,-6.1875,-1.5469,-0.0,-4.0868,-5.6337
16.3381,6.19,0.0,-6.1875,-1.5469,-0.0,-3.2695,-4.8163
16.3519,6.12,0.0,-6.125,-1.5312,-0.0,-2.2521,-3.7834
16.3648,6.06,0.0,-6.0625,-1.5156,-0.0,-1.4157,-2.9314
16.3809,6.0,0.0,-6.0,-1.5,-0.0,-0.8217,-2.3217
16.3937,5.75,0.0,-5.75,-1.4375,-0.0,0.9007,-0.5368
16.407,5.62,0.0,-5.625,-1.4062,-0.0,1.4861,0.0798
16.4202,5.5,0.0,-5.5,-1.375,-0.0,1.9341,0.5591
16.4332,5.38,0.0,-5.375,-1.3438,-0.0,2.3188,0.9751
16.4509,5.38,0.0,-5.375,-1.3438,-0.0,1.8551,0.5113
16.4641,5.38,0.0,-5.375,-1.3438,-0.0,1.4841,0.1403
16.4813,5.38,0.0,-5.375,-1.3438,-0.0,1.1873,-0.1565
16.4941,5.25,0.0,-5.25,-1.3125,-0.0,1.7266,0.4141
16.5071,5.12,0.0,-5.125,-1.2812,-0.0,2.154,0.8727
16.5202,5.0,0.0,-5.0,-1.25,-0.0,2.4853,1.2353
16.533,4.56,0.0,-4.5625,-1.1406,-0.0,4.7314,3.5908
16.5473,4.38,0.0,-4.375,-1.0938,-0.0,4.8279,3.7341
16.5609,4.12,0.0,-4.125,-1.0312,-0.0,5.3362,4.3049
16.5739,3.81,0.0,-3.8125,-0.9531,-0.0,6.1889,5.2358
16.5919,3.69,0.0,-3.6875,-0.9219,-0.0,5.5076,4.5857
16.6051,3.44,0.0,-3.4375,-0.8594,-0.0,5.9238,5.0645
16.618,3.31,0.0,-3.3125,-0.8281,-0.0,5.5127,4.6846
16.633,3.25,0.0,-3.25,-0.8125,-0.0,4.7441,3.9316
16.6458,3.06,0.0,-3.0625,-0.7656,-0.0,4.9624,4.1968
16.6588,2.94,0.0,-2.9375,-0.7344,-0.0,4.7381,4.0038
16.6727,2.81,0.0,-2.8125,-0.7031,-0.0,4.5118,3.8086
16.6856,2.5,0.0,-2.5,-0.625,-0.0,5.5457,4.9207
16.7027,2.38,0.0,-2.375,-0.5938,-0.0,5.0206,4.4269
16.7154,2.12,0.0,-2.125,-0.5312,-0.0,5.6009,5.0697
16.7327,2.0,0.0,-2.0,-0.5,-0.0,5.0592,4.5592
16.7453,1.88,0.0,-1.875,-0.4688,-0.0,4.8391,4.3704
16.7579,1.88,0.0,-1.875,-0.4688,-0.0,3.8713,3.4026
16.7708,1.88,0.0,-1.875,-0.4688,-0.0,3.0971,2.6283
16.784,1.81,0.0,-1.8125,-0.4531,-0.0,2.857,2.4039
16.7969,1.94,0.0,-1.9375,-0.4844,-0.0,1.5084,1.024
16.8095,2.0,0.0,-2.0,-0.5,-0.0,0.8109,0.3109
16.8221,2.12,0.0,-2.125,-0.5312,-0.0,-0.1444,-0.6756
16.8348,2.12,0.0,-2.125,-0.5312,-0.0,-0.1155,-0.6468
16.8474,2.12,0.0,-2.125,-0.5312,-0.0,-0.0924,-0.6237
16.8601,2.19,0.0,-2.1875,-0.5469,-0.0,-0.4692,-1.0161
16.8727,2.25,0.0,-2.25,-0.5625,-0.0,-0.7702,-1.3327
16.8854,2.44,0.0,-2.4375,-0.6094,-0.0,-1.8016,-2.411
16.8981,2.56,0.0,-2.5625,-0.6406,-0.0,-2.2243,-2.8649
16.9108,2.69,0.0,-2.6875,-0.6719,-0.0,-2.5713,-3.2432
16.9237,2.88,0.0,-2.875,-0.7188,-0.0,-3.2204,-3.9392
16.9366,3.44,0.0,-3.4375,-0.8594,-0.0,-6.0642,-6.9236
16.9539,3.69,0.0,-3.6875,-0.9219,-0.0,-6.005,-6.9269
16.9667,4.31,0.0,-4.3125,-1.0781,-0.0,-8.6977,-9.7758
16.9839,4.69,0.0,-4.6875,-1.1719,-0.0,-8.7043,-9.8761
16.9966,5.25,0.0,-5.25,-1.3125,-0.0,-10.5154,-11.8279
17.0094,5.56,0.0,-5.5625,-1.3906,-0.0,-10.3689,-11.7596
17.022,5.81,0.0,-5.8125,-1.4531,-0.0,-9.8808,-11.3339
17.0356,6.31,0.0,-6.3125,-1.5781,-0.0,-10.8522,-12.4303
17.0484,6.5,0.0,-6.5,-1.625,-0.0,-9.8568,-11.4818
17.0611,6.75,0.0,-6.75,-1.6875,-0.0,-9.4509,-11.1384
17.0744,7.06,0.0,-7.0625,-1.7656,-0.0,-9.4449,-11.2105
17.087,7.5,0.0,-7.5,-1.875,-0.0,-10.3148,-12.1898
17.1048,7.69,0.0,-7.6875,-1.9219,-0.0,-9.0947,-11.0166
17.1176,8.06,0.0,-8.0625,-2.0156,-0.0,-9.6207,-11.6363
17.1347,8.25,0.0,-8.25,-2.0625,-0.0,-8.5747,-10.6372
17.1475,8.69,0.0,-8.6875,-2.1719,-0.0,-9.6095,-11.7814
17.1602,8.81,0.0,-8.8125,-2.2031,-0.0,-8.472,-10.6752
17.1729,9.0,0.0,-9.0,-2.25,-0.0,-7.9601,-10.2101
17.1862,9.19,0.0,-9.1875,-2.2969,-0.0,-7.4911,-9.788
17.199,9.31,0.0,-9.3125,-2.3281,-0.0,-6.7761,-9.1043
17.2117,9.31,0.0,-9.3125,-2.3281,-0.0,-5.4209,-7.749
17.2245,9.38,0.0,-9.375,-2.3438,-0.0,-4.7303,-7.074
17.2373,9.31,0.0,-9.3125,-2.3281,-0.0,-3.3954,-5.7236
17.2531,9.31,0.0,-9.3125,-2.3281,-0.0,-2.7163,-5.0445
17.266,9.25,0.0,-9.25,-2.3125,-0.0,-1.785,-4.0975
17.2787,9.0,0.0,-9.0,-2.25,-0.0,0.1514,-2.0986
17.2956,8.88,0.0,-8.875,-2.2188,-0.0,0.7111,-1.5076
17.3086,8.75,0.0,-8.75,-2.1875,-0.0,1.3376,-0.8499
17.3214,8.5,0.0,-8.5,-2.125,-0.0,2.6368,0.5118
17.3366,8.19,0.0,-8.1875,-2.0469,-0.0,3.7575,1.7107
17.3496,7.69,0.0,-7.6875,-1.9219,-0.0,6.0883,4.1664
17.3625,7.38,0.0,-7.375,-1.8438,-0.0,6.8009,4.9572
17.376,7.06,0.0,-7.0625,-1.7656,-0.0,7.2868,5.5211
17.389,6.19,0.0,-6.1875,-1.5469,-0.0,11.2221,9.6752
17.4064,5.69,0.0,-5.6875,-1.4219,-0.0,11.2782,9.8563
17.4193,4.56,0.0,-4.5625,-1.1406,-0.0,16.0247,14.8841
17.4364,3.94,0.0,-3.9375,-0.9844,-0.0,15.7372,14.7528
17.449,2.69,0.0,-2.6875,-0.6719,-0.0,20.5354,19.8636
17.4616,2.0,0.0,-2.0,-0.5,-0.0,20.7894,20.2894
17.4745,1.38,0.0,-1.375,-0.3438,-0.0,20.5015,20.1578
17.4878,0.12,0.0,-0.125,-0.0312,-0.0,23.9321,23.9008
17.5026,-0.38,0.0,0.375,0.0938,-0.0,21.8407,21.9345
17.5155,-1.0,0.0,1.0,0.25,-0.0,21.3753,21.6253
17.5281,-2.12,0.0,2.125,0.5312,-0.0,24.1907,24.7219
17.5414,-2.75,0.0,2.75,0.6875,-0.0,23.1383,23.8258
17.5576,-3.31,0.0,3.3125,0.8281,-0.0,21.3013,22.1294
17.5705,-4.31,0.0,4.3125,1.0781,-0.0,23.1766,24.2547
17.5873,-4.81,0.0,4.8125,1.2031,-0.0,20.9221,22.1252
17.6004,-5.75,0.0,5.75,1.4375,-0.0,22.4762,23.9137
17.6136,-6.25,0.0,6.25,1.5625,-0.0,21.0128,22.5753
17.6265,-6.62,0.0,6.625,1.6562,-0.0,19.1259,20.7822
17.6396,-7.38,0.0,7.375,1.8438,-0.0,19.8947,21.7385
17.6572,-7.75,0.0,7.75,1.9375,-0.0,17.6158,19.5533
17.6709,-8.31,0.0,8.3125,2.0781,-0.0,17.3882,19.4664
17.6877,-8.56,0.0,8.5625,2.1406,-0.0,15.1042,17.2448
17.7008,-8.88,0.0,8.875,2.2188,-0.0,13.9848,16.2035
17.7139,-9.0,0.0,9.0,2.25,-0.0,11.9524,14.2024
17.7269,-9.0,0.0,9.0,2.25,-0.0,9.5619,11.8119
17.7397,-9.0,0.0,9.0,2.25,-0.0,7.6495,9.8995
17.7543,-8.94,0.0,8.9375,2.2344,-0.0,5.7774,8.0118
17.7671,-8.81,0.0,8.8125,2.2031,-0.0,3.8439,6.0471
17.7802,-8.56,0.0,8.5625,2.1406,-0.0,1.5441,3.6848
17.7972,-8.38,0.0,8.375,2.0938,-0.0,0.3547,2.4485
17.81,-7.88,0.0,7.875,1.9688,-0.0,-2.8429,-0.8742
17.823,-7.56,0.0,7.5625,1.8906,-0.0,-4.204,-2.3133
17.8386,-7.25,0.0,7.25,1.8125,-0.0,-4.9587,-3.1462
17.8513,-6.44,0.0,6.4375,1.6094,-0.0,-9.0957,-7.4864
17.8641,-6.06,0.0,6.0625,1.5156,-0.0,-9.6178,-8.1022
17.8771,-5.56,0.0,5.5625,1.3906,-0.0,-10.7679,-9.3773
17.8901,-4.44,0.0,4.4375,1.1094,-0.0,-15.5422,-14.4328
17.905,-3.81,0.0,3.8125,0.9531,-0.0,-15.7916,-14.8385
17.9178,-3.12,0.0,3.125,0.7812,-0.0,-16.9229,-16.1416
17.9306,-1.69,0.0,1.6875,0.4219,-0.0,-22.5302,-22.1084
17.9445,-0.88,0.0,0.875,0.2188,-0.0,-22.7156,-22.4968
17.9597,0.0,0.0,0.0,0.0,-0.0,-22.7785,-22.7785
17.9724,1.75,0.0,-1.75,-0.4375,-0.0,-29.2325,-29.67
17.9893,2.69,0.0,-2.6875,-0.6719,-0.0,-27.8279,-28.4998
18.0019,4.69,0.0,-4.6875,-1.1719,-0.0,-34.9189,-36.0907
18.0146,5.69,0.0,-5.6875,-1.4219,-0.0,-34.2402,-35.6621
18.0272,6.62,0.0,-6.625,-1.6562,-0.0,-33.3307,-34.987
18.0408,8.44,0.0,-8.4375,-2.1094,-0.0,-37.3915,-39.5009
18.0534,9.31,0.0,-9.3125,-2.3281,-0.0,-35.4411,-37.7692
18.066,10.12,0.0,-10.125,-2.5312,-0.0,-33.5071,-36.0384
18.0788,10.94,0.0,-10.9375,-2.7344,-0.0,-31.8928,-34.6272
18.0915,12.88,0.0,-12.875,-3.2188,-0.0,-37.7256,-40.9443
18.1059,13.75,0.0,-13.75,-3.4375,-0.0,-35.0584,-38.4959
18.1185,14.62,0.0,-14.625,-3.6562,-0.0,-33.5737,-37.23
18.1313,16.25,0.0,-16.25,-4.0625,-0.0,-37.0291,-41.0916
18.144,17.12,0.0,-17.125,-4.2812,-0.0,-35.1294,-39.4107
18.1606,17.94,0.0,-17.9375,-4.4844,-0.0,-32.0223,-36.5067
18.1734,19.44,0.0,-19.4375,-4.8594,-0.0,-34.9899,-39.8493
18.1904,20.12,0.0,-20.125,-5.0312,-0.0,-31.232,-36.2632
18.2033,21.31,0.0,-21.3125,-5.3281,-0.0,-32.3757,-37.7038
18.2165,21.81,0.0,-21.8125,-5.4531,-0.0,-28.9146,-34.3677
18.2293,22.25,0.0,-22.25,-5.5625,-0.0,-25.8681,-31.4306
18.242,23.0,0.0,-23.0,-5.75,-0.0,-25.4366,-31.1866
18.2547,23.38,0.0,-23.375,-5.8438,-0.0,-22.7098,-28.5535
18.2674,23.62,0.0,-23.625,-5.9062,-0.0,-19.7377,-25.6439
18.2808,23.88,0.0,-23.875,-5.9688,-0.0,-17.2869,-23.2556
18.2935,24.19,0.0,-24.1875,-6.0469,-0.0,-15.7923,-21.8392
18.3111,24.31,0.0,-24.3125,-6.0781,-0.0,-13.2036,-19.2817
18.3238,24.44,0.0,-24.4375,-6.1094,-0.0,-11.3487,-17.4581
18.3411,24.38,0.0,-24.375,-6.0938,-0.0,-8.7901,-14.8838
18.3542,24.19,0.0,-24.1875,-6.0469,-0.0,-5.8893,-11.9362
18.3674,24.0,0.0,-24.0,-6.0,-0.0,-3.5703,-9.5703
18.3803,23.69,0.0,-23.6875,-5.9219,-0.0,-0.9283,-6.8501
18.3932,22.94,0.0,-22.9375,-5.7344,-0.0,3.9209,-1.8135
18.4081,22.44,0.0,-22.4375,-5.6094,-0.0,5.8248,0.2154
18.421,21.94,0.0,-21.9375,-5.4844,-0.0,7.7567,2.2724
18.4337,20.62,0.0,-20.625,-5.1562,-0.0,14.4599,9.3036
18.4507,19.94,0.0,-19.9375,-4.9844,-0.0,14.8123,9.8279
18.4634,18.62,0.0,-18.625,-4.6562,-0.0,20.1091,15.4529
18.4763,17.94,0.0,-17.9375,-4.4844,-0.0,20.3463,15.8619
18.4924,17.19,0.0,-17.1875,-4.2969,-0.0,19.9942,15.6973
18.5054,15.44,0.0,-15.4375,-3.8594,-0.0,26.8098,22.9504
18.5184,14.56,0.0,-14.5625,-3.6406,-0.0,26.8132,23.1726
