timestamp,pitch,setpoint,error,P,I,D,output
1.0842,2.5,0.0,-2.5,-0.0,-0.0,-0.0,-0.0
1.0942,2.5,0.0,-2.5,-0.0,-0.0,0.0,0.0
1.1103,2.5,0.0,-2.5,-0.0,-0.0,0.0,0.0
1.1343,2.5,0.0,-2.5,-0.0,-0.0,0.0,0.0
1.1505,2.5,0.0,-2.5,-0.0,-0.0,0.0,0.0
1.1746,2.62,0.0,-2.625,-0.0,-0.0,-0.0,-0.0
1.1949,2.75,0.0,-2.75,-0.0,-0.0,-0.0,-0.0
1.2118,3.0,0.0,-3.0,-0.0,-0.0,-0.0,-0.0
1.235,3.31,0.0,-3.3125,-0.0,-0.0,-0.0,-0.0
1.2517,3.5,0.0,-3.5,-0.0,-0.0,-0.0,-0.0
1.2752,3.44,0.0,-3.4375,-0.0,-0.0,0.0,0.0
1.2955,3.38,0.0,-3.375,-0.0,-0.0,0.0,0.0
1.3116,3.25,0.0,-3.25,-0.0,-0.0,0.0,0.0
1.3354,3.19,0.0,-3.1875,-0.0,-0.0,0.0,0.0
1.3523,3.19,0.0,-3.1875,-0.0,-0.0,0.0,0.0
1.3755,3.31,0.0,-3.3125,-0.0,-0.0,-0.0,-0.0
1.3957,3.44,0.0,-3.4375,-0.0,-0.0,-0.0,-0.0
1.4127,3.56,0.0,-3.5625,-0.0,-0.0,-0.0,-0.0
1.4358,3.69,0.0,-3.6875,-0.0,-0.0,-0.0,-0.0
1.4529,3.88,0.0,-3.875,-0.0,-0.0,-0.0,-0.0
1.476,4.06,0.0,-4.0625,-0.0,-0.0,-0.0,-0.0
1.4963,4.31,0.0,-4.3125,-0.0,-0.0,-0.0,-0.0
1.5133,4.5,0.0,-4.5,-0.0,-0.0,-0.0,-0.0
1.5363,4.75,0.0,-4.75,-0.0,-0.0,-0.0,-0.0
1.5533,5.0,0.0,-5.0,-0.0,-0.0,-0.0,-0.0
1.5764,5.12,0.0,-5.125,-0.0,-0.0,-0.0,-0.0
1.5967,5.31,0.0,-5.3125,-0.0,-0.0,-0.0,-0.0
1.6139,5.44,0.0,-5.4375,-0.0,-0.0,-0.0,-0.0
1.6369,5.56,0.0,-5.5625,-0.0,-0.0,-0.0,-0.0
1.6538,5.75,0.0,-5.75,-0.0,-0.0,-0.0,-0.0
1.6776,5.94,0.0,-5.9375,-0.0,-0.0,-0.0,-0.0
1.6973,6.19,0.0,-6.1875,-0.0,-0.0,-0.0,-0.0
1.714,6.44,0.0,-6.4375,-0.0,-0.0,-0.0,-0.0
1.7371,6.69,0.0,-6.6875,-0.0,-0.0,-0.0,-0.0
1.7543,6.94,0.0,-6.9375,-0.0,-0.0,-0.0,-0.0
1.7775,7.25,0.0,-7.25,-0.0,-0.0,-0.0,-0.0
1.7977,7.56,0.0,-7.5625,-0.0,-0.0,-0.0,-0.0
