timestamp,pitch,setpoint,error,P,I,D,output
1.2118,-3.25,0.0,3.25,3.25,0.0,31.1082,34.3582
1.2217,-3.25,0.0,3.25,3.25,0.0,0.0,3.25
1.2415,-3.25,0.0,3.25,3.25,0.0,0.0,3.25
1.2617,-3.25,0.0,3.25,3.25,0.0,0.0,3.25
1.2785,-3.31,0.0,3.3125,3.3125,0.0,1.8677,5.1802
1.3017,-3.31,0.0,3.3125,3.3125,0.0,0.0,3.3125
1.3223,-3.38,0.0,3.375,3.375,0.0,1.5215,4.8965
1.342,-3.38,0.0,3.375,3.375,0.0,0.0,3.375
1.3621,-3.38,0.0,3.375,3.375,0.0,0.0,3.375
1.3795,-3.44,0.0,3.4375,3.4375,0.0,1.7905,5.228
1.4024,-3.56,0.0,3.5625,3.5625,0.0,2.7366,6.2991
1.4226,-3.62,0.0,3.625,3.625,0.0,1.5481,5.1731
1.4397,-3.69,0.0,3.6875,3.6875,0.0,1.8274,5.5149
1.4626,-3.69,0.0,3.6875,3.6875,0.0,0.0,3.6875
1.48,-3.69,0.0,3.6875,3.6875,0.0,0.0,3.6875
1.503,-3.69,0.0,3.6875,3.6875,0.0,0.0,3.6875
1.5232,-3.69,0.0,3.6875,3.6875,0.0,0.0,3.6875
1.5405,-3.62,0.0,3.625,3.625,0.0,-1.8061,1.8189
1.5632,-3.5,0.0,3.5,3.5,0.0,-2.7512,0.7488
1.5809,-3.31,0.0,3.3125,3.3125,0.0,-5.3057,-1.9932
1.6035,-3.12,0.0,3.125,3.125,0.0,-4.1465,-1.0215
1.6236,-2.88,0.0,2.875,2.875,0.0,-6.2245,-3.3495
1.6413,-2.62,0.0,2.625,2.625,0.0,-7.0679,-4.4429
1.6634,-2.25,0.0,2.25,2.25,0.0,-8.4535,-6.2035
1.6812,-1.88,0.0,1.875,1.875,0.0,-10.5482,-8.6732
1.7037,-1.31,0.0,1.3125,1.3125,0.0,-12.4955,-11.183
1.724,-0.69,0.0,0.6875,0.6875,0.0,-15.3864,-14.6989
1.7415,0.12,0.0,-0.125,-0.125,0.0,-23.3113,-23.4363
1.7639,1.06,0.0,-1.0625,-1.0625,0.0,-20.8519,-21.9144
1.7817,2.12,0.0,-2.125,-2.125,0.0,-29.969,-32.094
1.8054,3.25,0.0,-3.25,-3.25,0.0,-23.7401,-26.9901
1.8245,4.38,0.0,-4.375,-4.375,0.0,-29.3427,-33.7177
1.8422,5.44,0.0,-5.4375,-5.4375,0.0,-30.0284,-35.4659
1.8645,6.38,0.0,-6.375,-6.375,0.0,-21.0747,-27.4497
1.8825,7.25,0.0,-7.25,-7.25,0.0,-24.2935,-31.5435
1.9046,7.94,0.0,-7.9375,-7.9375,0.0,-15.5148,-23.4523
